object,i_deg,w_deg,node_deg,q_au_1,q_au_2,p_yr,ref,object_name
C/2001 W2 (BATTERS),115.9130897,142.0857566,113.3558968,1.051064641,34.81,75.91,22,C/2001 W2 (BATTERS)
C/2002 R5 (SOHO),14.12062881,45.7237989,13.21421538,0.047401601,6.38,5.77,3,C/2002 R5 (SOHO)
P/2002 S7 (SOHO),13.57497488,52.15494545,50.19576776,0.04879857,6.4,5.79,3,P/2002 S7 (SOHO)
P/2003 T12 (SOHO),11.4758078,217.6773881,176.4650989,0.574839946,4.57,4.12,5,P/2003 T12 (SOHO)
P/2005 T4 (SWAN),160.0361801,41.44353425,25.42228788,0.649399439,17.98,28.44,6,P/2005 T4 (SWAN)
P/2005 W4 (SOHO),14.5962755,49.40000591,53.00487076,0.05398036,6.03,5.31,2,P/2005 W4 (SOHO)
P/2006 HR30 (Siding Spring),31.88449913,117.4138753,309.9521628,1.226427704,14.41,21.86,87,P/2006 HR30 (Siding Spring)
P/2007 T2 (Kowalski),9.895275619,358.5515716,3.994965765,0.695862748,5.49,5.43,17,P/2007 T2 (Kowalski)
P/2008 Y1 (Boattini),8.805148715,162.3648341,259.7096838,1.27197954,8.32,10.51,13,P/2008 Y1 (Boattini)
P/2008 Y12 (SOHO),23.34562318,146.6141611,312.5525907,0.065413686,6.09,5.4,4,P/2008 Y12 (SOHO)
P/2009 L2 (Yang-Gao),16.15851413,346.954318,259.3047568,1.296125756,5.54,6.32,20,P/2009 L2 (Yang-Gao)
P/2009 WX51 (Catalina),9.592585691,118.0163889,31.75826735,0.799955544,5.36,5.41,19,P/2009 WX51 (Catalina)
C/2010 L5 (WISE),147.051681,214.729745,206.4730991,0.790900833,15.64,23.56,6,C/2010 L5 (WISE)
P/2011 NO1 (Elenin),15.27233838,263.6169668,296.0964602,1.242925561,9.88,13.12,8,P/2011 NO1 (Elenin)
C/2011 S2 (Kowalski),17.57253024,192.1899464,288.0701102,1.115118144,31.49,65.83,16,C/2011 S2 (Kowalski)
P/2012 NJ (La Sagra),84.37545937,338.4139159,315.7631836,1.291890069,15.71,24.79,31,P/2012 NJ (La Sagra)
P/2013 CU129 (PANSTARRS),12.14763226,211.9722717,46.20979967,0.800147691,4.96,4.89,38,P/2013 CU129 (PANSTARRS)
P/2013 TL117 (Lemmon),9.365636389,112.199132,3.362021948,1.117672075,6.09,6.84,45,P/2013 TL117 (Lemmon)
P/2014 U2 (Kowalski),7.495593453,35.25220977,356.1806792,1.164298274,4.7,5.02,10,P/2014 U2 (Kowalski)
P/2015 A3 (PANSTARRS),172.5137446,249.5086139,277.0821425,1.15385721,14.05,20.95,1,P/2015 A3 (PANSTARRS)
C/2015 D1 (SOHO),69.61628937,234.9530166,95.88138486,0.028321056,9.85,10.98,3,C/2015 D1 (SOHO)
C/2015 F2 (Polonia),28.66103039,352.0587584,262.4816139,1.209544218,63.13,182.45,6,C/2015 F2 (Polonia)
C/2015 F5 (SWAN-Xingming),149.2569445,13.39233003,287.7390236,0.346005132,30.73,61.26,2,C/2015 F5 (SWAN-Xingming)
